omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.237012038912196757e-02 6.840530084457770954e+01 3.061719674044531825e+00 1.181177554786366768e-01 9.745435437068564744e-01 8.760616776853311194e+00 1.000974258195554967e+00 1.001729256241278510e+00 1.005758850445777064e+00 9.953180376696699749e-01 9.995210541829110396e-01 1.413671128116807639e-02
2.254282636871486958e-02 6.813523274488971992e+01 3.061802418487748145e+00 1.180271717180234881e-01 9.688032665296604229e-01 8.673013374559834787e+00 1.000571688904951184e+00 1.000289735671889613e+00 1.005078639861194167e+00 9.986995964445386509e-01 1.003575940936522803e+00 6.253657238865210910e-02
2.264797969006957651e-02 6.846872197218684164e+01 3.058904629243921480e+00 1.188009135710525188e-01 9.629967000247666720e-01 8.029702734334552616e+00 1.003526871108152640e+00 1.001332843237067616e+00 1.001228383375657005e+00 1.001509585309313888e+00 1.000925455636047401e+00 1.882078580928547504e-02
2.250057774117713433e-02 6.873617073684999923e+01 3.058661987089909218e+00 1.173892056989949001e-01 9.736676648780149268e-01 8.276041670840633913e+00 1.002985355952488389e+00 1.000321542995708635e+00 1.005279486528813715e+00 1.001149657715765251e+00 1.002345143877908962e+00 2.716731267612591469e-02
2.256734388438533245e-02 6.847691238402836689e+01 3.054734010512448084e+00 1.184212371604587838e-01 9.727950242689009652e-01 8.078175873403690588e+00 1.002208446199793102e+00 1.004199576547835759e+00 1.001135174574299347e+00 9.963776044324788028e-01 1.006902018468179172e+00 1.884006127194020122e-02
2.257701551364893131e-02 6.869682510550705956e+01 3.062987159479052313e+00 1.175802740469107238e-01 9.695564397973326365e-01 8.402511764733858968e+00 1.003823598823902818e+00 1.002540662523302650e+00 1.002572251003135184e+00 1.002079308272000313e+00 1.004189865136893234e+00 1.390157096544653893e-02
2.234950060949563930e-02 6.840943034345181673e+01 3.050828414679965572e+00 1.184300923995038057e-01 9.703524478833820410e-01 8.039880400661189697e+00 1.003076240585323520e+00 9.999207207877873760e-01 9.998763104304988492e-01 1.003096586238878984e+00 1.005607222717137983e+00 1.185985209699010621e-03
2.253638562608966181e-02 6.849542182208706720e+01 3.044649799827772618e+00 1.185889780220025502e-01 9.651269899501683236e-01 7.841901084242804743e+00 9.985547800279894748e-01 9.966891664623210856e-01 1.006690962671688450e+00 9.973576983135741258e-01 9.962149805631068666e-01 1.580212093805350229e-02
2.249594099565174407e-02 6.854959502390063619e+01 3.048756612946972311e+00 1.183527306655283162e-01 9.729212081998009909e-01 7.950540980729604357e+00 1.001557251545525329e+00 9.992594690771595678e-01 1.007376830402642920e+00 1.000731551683650578e+00 1.004491941789737330e+00 6.025379155300234239e-04
2.250012664029987092e-02 6.809192164845613604e+01 3.030270137977722822e+00 1.194943438835860405e-01 9.659328859577094306e-01 7.044541143830587160e+00 9.990613577071689733e-01 1.000845473526389640e+00 1.002919667881505106e+00 9.933229839871987599e-01 1.000410600790191618e+00 5.294451322707425384e-03
2.253956134317066512e-02 6.878934468792591872e+01 3.055928970940974487e+00 1.177508764651337553e-01 9.723066245758363868e-01 8.215722613816629050e+00 1.002323758519504837e+00 1.001139248058322551e+00 1.000971670841582783e+00 9.994787112690808328e-01 1.005462950217011153e+00 1.115544840717071391e-02
2.248170175384227309e-02 6.846271665715494237e+01 3.030640681377815504e+00 1.187116569033162122e-01 9.735975818404195570e-01 6.993183243538712901e+00 1.000804917894173807e+00 1.002977053754044334e+00 1.002705305715584805e+00 9.986330846857629506e-01 1.001471530304430368e+00 9.130757946362844622e-04
2.251532296078410586e-02 6.855609919430165178e+01 3.059925319469892990e+00 1.181672127953511120e-01 9.740855874724327901e-01 8.492085252810813500e+00 1.001661147681080388e+00 9.981651225278991291e-01 1.001812916433716838e+00 9.977179416991514005e-01 1.002119005434697341e+00 2.816323411921661454e-02
2.249645817985711921e-02 6.855266224640794803e+01 3.062865147934608512e+00 1.187063501706595303e-01 9.718622544606559943e-01 8.500601567544602943e+00 1.000843709147490213e+00 1.002262298425773634e+00 1.001067436043379333e+00 9.967709355058761433e-01 1.003401043401272785e+00 7.055633947329009031e-03
2.260620664728201293e-02 6.858156725457224923e+01 3.071180966918158450e+00 1.182922705216732234e-01 9.718795596052759445e-01 8.982742262705983194e+00 1.000454338739850346e+00 9.995874987599793204e-01 1.003813095372576125e+00 9.986700143835469667e-01 1.001274535097167240e+00 2.080379248161230363e-02
2.244216835663185097e-02 6.846503081888798192e+01 3.081727418885691350e+00 1.178796058709628697e-01 9.744689441901204230e-01 9.600362455680176765e+00 9.996302494201594335e-01 1.000380758888206101e+00 1.007573243545599073e+00 9.986782754990979338e-01 1.004249555354158385e+00 4.343200489929963798e-02
