05:04:58 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_20260811/un_lcdm_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
05:05:48 [ultranest] [INFO] Sampling 400 live points from prior ...
05:07:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
05:07:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
05:07:56 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
06:11:21 [ultranest] [DEBUG] iteration=134, ncalls=8656, regioncalls=0, ndraw=40, logz=-16717.38, remainder_fraction=100.0000%, Lmin=-16698.07, Lmax=-1922.91
06:11:52 [ultranest] [DEBUG] iteration=135, ncalls=8752, regioncalls=0, ndraw=40, logz=-16704.40, remainder_fraction=100.0000%, Lmin=-16667.90, Lmax=-1922.91
06:12:32 [ultranest] [DEBUG] iteration=139, ncalls=8848, regioncalls=0, ndraw=40, logz=-16592.52, remainder_fraction=100.0000%, Lmin=-16554.13, Lmax=-1922.91
06:13:13 [ultranest] [DEBUG] iteration=141, ncalls=8944, regioncalls=0, ndraw=40, logz=-16539.36, remainder_fraction=100.0000%, Lmin=-16450.00, Lmax=-1922.91
06:13:48 [ultranest] [DEBUG] iteration=143, ncalls=9040, regioncalls=0, ndraw=40, logz=-16447.45, remainder_fraction=100.0000%, Lmin=-16433.56, Lmax=-1922.91
06:14:45 [ultranest] [DEBUG] iteration=147, ncalls=9136, regioncalls=0, ndraw=40, logz=-16271.37, remainder_fraction=100.0000%, Lmin=-16228.84, Lmax=-1922.91
06:15:33 [ultranest] [DEBUG] iteration=150, ncalls=9232, regioncalls=0, ndraw=40, logz=-15991.84, remainder_fraction=100.0000%, Lmin=-15951.33, Lmax=-1922.91
06:16:19 [ultranest] [DEBUG] iteration=152, ncalls=9328, regioncalls=0, ndraw=40, logz=-15868.07, remainder_fraction=100.0000%, Lmin=-15840.26, Lmax=-1922.91
06:16:54 [ultranest] [DEBUG] iteration=158, ncalls=9424, regioncalls=0, ndraw=40, logz=-15545.59, remainder_fraction=100.0000%, Lmin=-15457.60, Lmax=-1922.91
06:16:54 [ultranest] [DEBUG] iteration=160, ncalls=9424, regioncalls=0, ndraw=40, logz=-15230.05, remainder_fraction=100.0000%, Lmin=-15002.47, Lmax=-1922.91
