16:55:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_trgb_20260813/un_lcdm_trgb_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:56:10 [ultranest] [INFO] Sampling 400 live points from prior ...
16:58:14 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:58:14 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:58:14 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
18:00:12 [ultranest] [DEBUG] iteration=190, ncalls=10384, regioncalls=0, ndraw=40, logz=-15213.56, remainder_fraction=100.0000%, Lmin=-15184.00, Lmax=-1922.48
18:00:45 [ultranest] [DEBUG] iteration=192, ncalls=10480, regioncalls=0, ndraw=40, logz=-15150.64, remainder_fraction=100.0000%, Lmin=-15122.06, Lmax=-1922.48
18:02:05 [ultranest] [DEBUG] iteration=194, ncalls=10672, regioncalls=0, ndraw=40, logz=-15117.23, remainder_fraction=100.0000%, Lmin=-14946.14, Lmax=-1922.48
18:02:40 [ultranest] [DEBUG] iteration=195, ncalls=10768, regioncalls=0, ndraw=40, logz=-14952.62, remainder_fraction=100.0000%, Lmin=-14945.89, Lmax=-1922.48
18:03:14 [ultranest] [DEBUG] iteration=197, ncalls=10864, regioncalls=0, ndraw=40, logz=-14926.73, remainder_fraction=100.0000%, Lmin=-14913.72, Lmax=-1922.48
18:03:45 [ultranest] [DEBUG] iteration=198, ncalls=10960, regioncalls=0, ndraw=40, logz=-14920.20, remainder_fraction=100.0000%, Lmin=-14891.35, Lmax=-1922.48
18:03:45 [ultranest] [DEBUG] iteration=200, ncalls=10960, regioncalls=0, ndraw=40, logz=-14833.63, remainder_fraction=100.0000%, Lmin=-14675.54, Lmax=-1922.48
18:04:13 [ultranest] [DEBUG] iteration=201, ncalls=11056, regioncalls=0, ndraw=40, logz=-14682.04, remainder_fraction=100.0000%, Lmin=-14666.20, Lmax=-1922.48
18:04:40 [ultranest] [DEBUG] iteration=203, ncalls=11152, regioncalls=0, ndraw=40, logz=-14577.49, remainder_fraction=100.0000%, Lmin=-14554.05, Lmax=-1922.48
18:05:23 [ultranest] [DEBUG] iteration=208, ncalls=11248, regioncalls=0, ndraw=40, logz=-14462.56, remainder_fraction=100.0000%, Lmin=-14414.31, Lmax=-1922.48
18:06:01 [ultranest] [DEBUG] iteration=210, ncalls=11344, regioncalls=0, ndraw=40, logz=-14416.58, remainder_fraction=100.0000%, Lmin=-14394.86, Lmax=-1922.48
18:06:37 [ultranest] [DEBUG] iteration=212, ncalls=11440, regioncalls=0, ndraw=40, logz=-14400.59, remainder_fraction=100.0000%, Lmin=-14257.88, Lmax=-1922.48
18:07:19 [ultranest] [DEBUG] iteration=214, ncalls=11536, regioncalls=0, ndraw=40, logz=-14087.21, remainder_fraction=100.0000%, Lmin=-13968.69, Lmax=-1922.48
18:08:12 [ultranest] [DEBUG] iteration=215, ncalls=11728, regioncalls=0, ndraw=40, logz=-13975.21, remainder_fraction=100.0000%, Lmin=-13961.44, Lmax=-1922.48
18:08:48 [ultranest] [DEBUG] iteration=219, ncalls=11824, regioncalls=0, ndraw=40, logz=-13841.28, remainder_fraction=100.0000%, Lmin=-13760.87, Lmax=-1922.48
18:09:15 [ultranest] [DEBUG] iteration=220, ncalls=11920, regioncalls=0, ndraw=40, logz=-13767.41, remainder_fraction=100.0000%, Lmin=-13738.38, Lmax=-1922.48
18:09:42 [ultranest] [DEBUG] iteration=222, ncalls=12016, regioncalls=0, ndraw=40, logz=-13655.97, remainder_fraction=100.0000%, Lmin=-13610.75, Lmax=-1922.48
18:10:11 [ultranest] [DEBUG] iteration=223, ncalls=12112, regioncalls=0, ndraw=40, logz=-13617.30, remainder_fraction=100.0000%, Lmin=-13588.68, Lmax=-1922.48
18:10:39 [ultranest] [DEBUG] iteration=227, ncalls=12208, regioncalls=0, ndraw=40, logz=-13390.14, remainder_fraction=100.0000%, Lmin=-13372.36, Lmax=-1922.48
18:11:07 [ultranest] [DEBUG] iteration=228, ncalls=12304, regioncalls=0, ndraw=40, logz=-13378.92, remainder_fraction=100.0000%, Lmin=-13235.50, Lmax=-1922.48
18:11:36 [ultranest] [DEBUG] iteration=229, ncalls=12400, regioncalls=0, ndraw=40, logz=-13242.06, remainder_fraction=100.0000%, Lmin=-13214.39, Lmax=-1922.48
18:12:30 [ultranest] [DEBUG] iteration=233, ncalls=12592, regioncalls=0, ndraw=40, logz=-13016.22, remainder_fraction=100.0000%, Lmin=-13000.23, Lmax=-1922.48
18:13:21 [ultranest] [DEBUG] iteration=234, ncalls=12688, regioncalls=0, ndraw=40, logz=-13006.81, remainder_fraction=100.0000%, Lmin=-12998.60, Lmax=-1922.48
18:13:59 [ultranest] [DEBUG] iteration=236, ncalls=12784, regioncalls=0, ndraw=40, logz=-12973.10, remainder_fraction=100.0000%, Lmin=-12933.56, Lmax=-1922.48
18:14:27 [ultranest] [DEBUG] iteration=237, ncalls=12880, regioncalls=0, ndraw=40, logz=-12940.14, remainder_fraction=100.0000%, Lmin=-12862.13, Lmax=-1922.48
18:15:04 [ultranest] [DEBUG] iteration=238, ncalls=12976, regioncalls=0, ndraw=40, logz=-12868.72, remainder_fraction=100.0000%, Lmin=-12824.97, Lmax=-1922.48
18:15:35 [ultranest] [DEBUG] iteration=240, ncalls=13072, regioncalls=0, ndraw=40, logz=-12818.07, remainder_fraction=100.0000%, Lmin=-12762.80, Lmax=-1922.48
18:16:26 [ultranest] [DEBUG] iteration=242, ncalls=13168, regioncalls=0, ndraw=40, logz=-12756.05, remainder_fraction=100.0000%, Lmin=-12615.30, Lmax=-1922.48
18:16:59 [ultranest] [DEBUG] iteration=244, ncalls=13264, regioncalls=0, ndraw=40, logz=-12618.06, remainder_fraction=100.0000%, Lmin=-12599.36, Lmax=-1922.48
18:17:49 [ultranest] [DEBUG] iteration=247, ncalls=13360, regioncalls=0, ndraw=40, logz=-12590.87, remainder_fraction=100.0000%, Lmin=-12556.42, Lmax=-1922.48
18:19:10 [ultranest] [DEBUG] iteration=248, ncalls=13552, regioncalls=0, ndraw=40, logz=-12563.03, remainder_fraction=100.0000%, Lmin=-12546.39, Lmax=-1922.48
18:19:39 [ultranest] [DEBUG] iteration=249, ncalls=13648, regioncalls=0, ndraw=40, logz=-12553.01, remainder_fraction=100.0000%, Lmin=-12508.65, Lmax=-1922.48
18:20:43 [ultranest] [DEBUG] iteration=250, ncalls=13840, regioncalls=0, ndraw=40, logz=-12515.26, remainder_fraction=100.0000%, Lmin=-12499.67, Lmax=-1922.48
18:21:31 [ultranest] [DEBUG] iteration=252, ncalls=13936, regioncalls=0, ndraw=40, logz=-12504.43, remainder_fraction=100.0000%, Lmin=-12470.39, Lmax=-1922.48
18:21:58 [ultranest] [DEBUG] iteration=254, ncalls=14032, regioncalls=0, ndraw=40, logz=-12419.27, remainder_fraction=100.0000%, Lmin=-12405.00, Lmax=-1922.48
18:22:25 [ultranest] [DEBUG] iteration=255, ncalls=14128, regioncalls=0, ndraw=40, logz=-12411.62, remainder_fraction=100.0000%, Lmin=-12399.97, Lmax=-1922.48
18:23:01 [ultranest] [DEBUG] iteration=259, ncalls=14224, regioncalls=0, ndraw=40, logz=-12269.96, remainder_fraction=100.0000%, Lmin=-12249.76, Lmax=-1922.48
18:23:29 [ultranest] [DEBUG] iteration=260, ncalls=14320, regioncalls=0, ndraw=40, logz=-12256.40, remainder_fraction=100.0000%, Lmin=-12247.36, Lmax=-1922.48
18:23:58 [ultranest] [DEBUG] iteration=261, ncalls=14416, regioncalls=0, ndraw=40, logz=-12253.91, remainder_fraction=100.0000%, Lmin=-12177.36, Lmax=-1922.48
18:24:24 [ultranest] [DEBUG] iteration=264, ncalls=14512, regioncalls=0, ndraw=40, logz=-12120.82, remainder_fraction=100.0000%, Lmin=-12101.87, Lmax=-1922.48
18:24:50 [ultranest] [DEBUG] iteration=265, ncalls=14608, regioncalls=0, ndraw=40, logz=-12108.52, remainder_fraction=100.0000%, Lmin=-12078.48, Lmax=-1922.48
18:25:18 [ultranest] [DEBUG] iteration=267, ncalls=14704, regioncalls=0, ndraw=40, logz=-12082.59, remainder_fraction=100.0000%, Lmin=-12075.62, Lmax=-1922.48
18:25:43 [ultranest] [DEBUG] iteration=271, ncalls=14800, regioncalls=0, ndraw=40, logz=-12015.70, remainder_fraction=100.0000%, Lmin=-11958.88, Lmax=-1922.48
18:26:18 [ultranest] [DEBUG] iteration=274, ncalls=14896, regioncalls=0, ndraw=40, logz=-11893.37, remainder_fraction=100.0000%, Lmin=-11883.95, Lmax=-1922.48
18:27:00 [ultranest] [DEBUG] iteration=276, ncalls=14992, regioncalls=0, ndraw=40, logz=-11875.80, remainder_fraction=100.0000%, Lmin=-11851.81, Lmax=-1922.48
18:27:41 [ultranest] [DEBUG] iteration=277, ncalls=15088, regioncalls=0, ndraw=40, logz=-11858.49, remainder_fraction=100.0000%, Lmin=-11836.15, Lmax=-1922.48
18:28:14 [ultranest] [DEBUG] iteration=280, ncalls=15184, regioncalls=0, ndraw=40, logz=-11783.58, remainder_fraction=100.0000%, Lmin=-11661.22, Lmax=-1922.48
18:29:04 [ultranest] [DEBUG] iteration=281, ncalls=15280, regioncalls=0, ndraw=40, logz=-11667.91, remainder_fraction=100.0000%, Lmin=-11574.80, Lmax=-1922.48
18:29:54 [ultranest] [DEBUG] iteration=285, ncalls=15376, regioncalls=0, ndraw=40, logz=-11550.34, remainder_fraction=100.0000%, Lmin=-11543.39, Lmax=-1922.48
18:30:19 [ultranest] [DEBUG] iteration=288, ncalls=15472, regioncalls=0, ndraw=40, logz=-11490.24, remainder_fraction=100.0000%, Lmin=-11471.58, Lmax=-1922.48
18:31:44 [ultranest] [DEBUG] iteration=289, ncalls=15760, regioncalls=0, ndraw=40, logz=-11478.30, remainder_fraction=100.0000%, Lmin=-11395.63, Lmax=-1922.48
18:32:13 [ultranest] [DEBUG] iteration=291, ncalls=15856, regioncalls=0, ndraw=40, logz=-11360.58, remainder_fraction=100.0000%, Lmin=-11340.65, Lmax=-1922.48
18:32:45 [ultranest] [DEBUG] iteration=292, ncalls=15952, regioncalls=0, ndraw=40, logz=-11347.37, remainder_fraction=100.0000%, Lmin=-11338.41, Lmax=-1922.48
18:33:30 [ultranest] [DEBUG] iteration=297, ncalls=16048, regioncalls=0, ndraw=40, logz=-11134.95, remainder_fraction=100.0000%, Lmin=-11100.88, Lmax=-1922.48
18:34:03 [ultranest] [DEBUG] iteration=299, ncalls=16144, regioncalls=0, ndraw=40, logz=-11093.63, remainder_fraction=100.0000%, Lmin=-11030.68, Lmax=-1922.48
18:35:38 [ultranest] [DEBUG] iteration=300, ncalls=16432, regioncalls=0, ndraw=40, logz=-11037.43, remainder_fraction=100.0000%, Lmin=-11028.63, Lmax=-1922.48
18:36:28 [ultranest] [DEBUG] iteration=301, ncalls=16528, regioncalls=0, ndraw=40, logz=-11035.26, remainder_fraction=100.0000%, Lmin=-11018.61, Lmax=-1922.48
18:36:58 [ultranest] [DEBUG] iteration=304, ncalls=16624, regioncalls=0, ndraw=40, logz=-10976.81, remainder_fraction=100.0000%, Lmin=-10954.75, Lmax=-1922.48
18:38:01 [ultranest] [DEBUG] iteration=305, ncalls=16816, regioncalls=0, ndraw=40, logz=-10961.50, remainder_fraction=100.0000%, Lmin=-10920.27, Lmax=-1922.48
18:38:33 [ultranest] [DEBUG] iteration=307, ncalls=16912, regioncalls=0, ndraw=40, logz=-10921.00, remainder_fraction=100.0000%, Lmin=-10907.26, Lmax=-1922.48
18:39:13 [ultranest] [DEBUG] iteration=309, ncalls=17008, regioncalls=0, ndraw=40, logz=-10883.98, remainder_fraction=100.0000%, Lmin=-10873.43, Lmax=-1922.48
18:39:51 [ultranest] [DEBUG] iteration=313, ncalls=17104, regioncalls=0, ndraw=40, logz=-10785.68, remainder_fraction=100.0000%, Lmin=-10778.56, Lmax=-1922.48
18:40:41 [ultranest] [DEBUG] iteration=314, ncalls=17200, regioncalls=0, ndraw=40, logz=-10784.80, remainder_fraction=100.0000%, Lmin=-10758.38, Lmax=-1922.48
18:41:23 [ultranest] [DEBUG] iteration=315, ncalls=17296, regioncalls=0, ndraw=40, logz=-10765.15, remainder_fraction=100.0000%, Lmin=-10673.00, Lmax=-1922.48
18:41:50 [ultranest] [DEBUG] iteration=316, ncalls=17392, regioncalls=0, ndraw=40, logz=-10679.78, remainder_fraction=100.0000%, Lmin=-10621.32, Lmax=-1922.48
18:42:14 [ultranest] [DEBUG] iteration=320, ncalls=17488, regioncalls=0, ndraw=40, logz=-10604.35, remainder_fraction=100.0000%, Lmin=-10581.06, Lmax=-1922.48
18:42:42 [ultranest] [DEBUG] iteration=322, ncalls=17584, regioncalls=0, ndraw=40, logz=-10555.48, remainder_fraction=100.0000%, Lmin=-10528.15, Lmax=-1922.48
18:43:08 [ultranest] [DEBUG] iteration=323, ncalls=17680, regioncalls=0, ndraw=40, logz=-10534.94, remainder_fraction=100.0000%, Lmin=-10513.51, Lmax=-1922.48
18:44:11 [ultranest] [DEBUG] iteration=324, ncalls=17872, regioncalls=0, ndraw=40, logz=-10520.31, remainder_fraction=100.0000%, Lmin=-10497.43, Lmax=-1922.48
18:44:46 [ultranest] [DEBUG] iteration=325, ncalls=17968, regioncalls=0, ndraw=40, logz=-10504.23, remainder_fraction=100.0000%, Lmin=-10493.22, Lmax=-1922.48
18:45:18 [ultranest] [DEBUG] iteration=328, ncalls=18064, regioncalls=0, ndraw=40, logz=-10420.60, remainder_fraction=100.0000%, Lmin=-10413.75, Lmax=-1922.48
18:46:12 [ultranest] [DEBUG] iteration=330, ncalls=18256, regioncalls=0, ndraw=40, logz=-10305.83, remainder_fraction=100.0000%, Lmin=-10268.53, Lmax=-1922.48
18:46:40 [ultranest] [DEBUG] iteration=332, ncalls=18352, regioncalls=0, ndraw=40, logz=-10269.43, remainder_fraction=100.0000%, Lmin=-10222.66, Lmax=-1922.48
18:47:30 [ultranest] [DEBUG] iteration=333, ncalls=18448, regioncalls=0, ndraw=40, logz=-10229.48, remainder_fraction=100.0000%, Lmin=-10219.58, Lmax=-1922.48
18:48:14 [ultranest] [DEBUG] iteration=334, ncalls=18544, regioncalls=0, ndraw=40, logz=-10226.36, remainder_fraction=100.0000%, Lmin=-10193.84, Lmax=-1922.48
18:48:52 [ultranest] [DEBUG] iteration=335, ncalls=18640, regioncalls=0, ndraw=40, logz=-10200.67, remainder_fraction=100.0000%, Lmin=-10190.75, Lmax=-1922.48
18:49:18 [ultranest] [DEBUG] iteration=336, ncalls=18736, regioncalls=0, ndraw=40, logz=-10197.54, remainder_fraction=100.0000%, Lmin=-10161.62, Lmax=-1922.48
18:50:50 [ultranest] [DEBUG] iteration=337, ncalls=19024, regioncalls=0, ndraw=40, logz=-10168.45, remainder_fraction=100.0000%, Lmin=-10161.19, Lmax=-1922.48
18:51:29 [ultranest] [DEBUG] iteration=341, ncalls=19120, regioncalls=0, ndraw=40, logz=-10138.60, remainder_fraction=100.0000%, Lmin=-10098.91, Lmax=-1922.48
18:51:56 [ultranest] [DEBUG] iteration=343, ncalls=19216, regioncalls=0, ndraw=40, logz=-10091.95, remainder_fraction=100.0000%, Lmin=-10047.12, Lmax=-1922.48
18:52:25 [ultranest] [DEBUG] iteration=345, ncalls=19312, regioncalls=0, ndraw=40, logz=-9997.70, remainder_fraction=100.0000%, Lmin=-9938.96, Lmax=-1922.48
18:52:54 [ultranest] [DEBUG] iteration=346, ncalls=19408, regioncalls=0, ndraw=40, logz=-9945.82, remainder_fraction=100.0000%, Lmin=-9897.40, Lmax=-1922.48
18:53:22 [ultranest] [DEBUG] iteration=347, ncalls=19504, regioncalls=0, ndraw=40, logz=-9904.25, remainder_fraction=100.0000%, Lmin=-9875.45, Lmax=-1922.48
18:54:43 [ultranest] [DEBUG] iteration=350, ncalls=19696, regioncalls=0, ndraw=40, logz=-9869.14, remainder_fraction=100.0000%, Lmin=-9827.30, Lmax=-1922.48
18:55:15 [ultranest] [DEBUG] iteration=351, ncalls=19792, regioncalls=0, ndraw=40, logz=-9834.17, remainder_fraction=100.0000%, Lmin=-9750.58, Lmax=-1922.48
