logz logzerr logvol nlive logl logwt insert_order
-2.723679409990165368e+04 1.310880180273428266e+02 -1.100000000000000561e-01 4.000000000000000000e+02 -2.718753169830638944e+04 -2.719363441259308092e+04 3.699999999999999956e-01
-2.719363441259308092e+04 9.200349189021945051e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -2.708507571974351595e+04 -2.709118093403020612e+04 1.760000000000000009e+00
-2.709118093403020612e+04 1.225136777218813648e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -2.706524106430144820e+04 -2.707134877858814070e+04 8.499999999999999778e-01
-2.707134877858570326e+04 4.504442596343528038e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -2.680202310395532550e+04 -2.680813331824201668e+04 2.550000000000000044e-01
-2.680813331824201668e+04 1.536779886409538278e+02 -1.200000000000000649e-01 4.000000000000000000e+02 -2.677575656126484319e+04 -2.678186927555153306e+04 1.354999999999999982e+00
-2.678186927555152943e+04 1.432909567341051513e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -2.673820072112103662e+04 -2.674431593540772883e+04 1.300000000000000044e+00
-2.674431593540772883e+04 8.790849664860088808e+01 -1.250000000000000555e-01 4.000000000000000000e+02 -2.614469667680905695e+04 -2.615081439109574785e+04 1.239999999999999991e+00
-2.615081439109574785e+04 2.977994454895254535e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.587422687375353416e+04 -2.588034708804022375e+04 1.054999999999999938e+00
-2.588034708804022375e+04 3.739532543248458296e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.586567323467816459e+04 -2.587179594896485651e+04 1.120000000000000107e+00
-2.587179575565877894e+04 2.512000600964824173e+02 -1.325000000000000622e-01 4.000000000000000000e+02 -2.577788847662122134e+04 -2.578401369090791195e+04 5.550000000000000488e-01
-2.578401369090791195e+04 4.205489235144768401e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -2.560563707190669811e+04 -2.561176478619339105e+04 9.350000000000000533e-01
-2.561176478619339105e+04 6.380666178362179863e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -2.553726003128127923e+04 -2.554339024556797085e+04 1.799999999999999933e-01
-2.554339024556797085e+04 6.613461656989476012e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -2.547910225091662869e+04 -2.548523496520331901e+04 1.294999999999999929e+00
-2.548523496520331901e+04 8.199232065567360905e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -2.529235676699376927e+04 -2.529849198128046191e+04 6.250000000000000000e-01
-2.529849198128046191e+04 6.961522649617903369e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -2.519184994997768081e+04 -2.519798766426437214e+04 8.000000000000000167e-02
-2.519798766426437214e+04 3.732198729222567124e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -2.501294995065704279e+04 -2.501909016494373282e+04 1.725000000000000089e+00
-2.501909016494373282e+04 1.015448478616213066e+02 -1.500000000000000777e-01 4.000000000000000000e+02 -2.500389349020067311e+04 -2.501003620448736547e+04 1.854999999999999982e+00
-2.501003608756716494e+04 1.027667568201617883e+02 -1.525000000000000799e-01 4.000000000000000000e+02 -2.463090323501205057e+04 -2.463704844929874162e+04 7.349999999999999867e-01
-2.463704844929874162e+04 1.847883400019478302e+02 -1.550000000000000822e-01 4.000000000000000000e+02 -2.461088550899002803e+04 -2.461703322327671776e+04 1.304999999999999938e+00
-2.461703322327468777e+04 1.842011535302415837e+02 -1.575000000000000844e-01 4.000000000000000000e+02 -2.456739528881512888e+04 -2.457354550310182094e+04 1.820000000000000062e+00
-2.457354550310182094e+04 1.210968699333132861e+02 -1.600000000000000866e-01 4.000000000000000000e+02 -2.446737714972530375e+04 -2.447352986401199450e+04 1.989999999999999991e+00
-2.447352986401199450e+04 3.960811457736999586e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -2.440586736424085393e+04 -2.441202257852754701e+04 1.800000000000000044e+00
-2.441202257852754701e+04 3.052306808296054896e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -2.425942311702714505e+04 -2.426558083131383682e+04 1.100000000000000006e-01
-2.426558083131383682e+04 6.656255196832738363e+01 -1.675000000000000933e-01 4.000000000000000000e+02 -2.422015630117908586e+04 -2.422631651546577632e+04 1.185000000000000053e+00
-2.422631651546577632e+04 5.074827111479606856e+01 -1.700000000000000955e-01 4.000000000000000000e+02 -2.417792560742347996e+04 -2.418408832171017275e+04 1.669999999999999929e+00
-2.418408832171017275e+04 1.833979028315755855e+01 -1.725000000000000977e-01 4.000000000000000000e+02 -2.392537541411007260e+04 -2.393154062839676408e+04 1.215000000000000080e+00
-2.393154062839676408e+04 1.287135555377540470e+02 -1.750000000000000999e-01 4.000000000000000000e+02 -2.390666545357992436e+04 -2.391283316786661453e+04 1.485000000000000098e+00
-2.391283316785910938e+04 1.212860120188388890e+02 -1.775000000000001021e-01 4.000000000000000000e+02 -2.387233028278071652e+04 -2.387850049706740901e+04 6.550000000000000266e-01
-2.387850049706740901e+04 8.285286480311691548e+01 -1.800000000000001044e-01 4.000000000000000000e+02 -2.380357868718833197e+04 -2.380975140147502316e+04 1.034999999999999920e+00
-2.380975140147502316e+04 3.911979001509801179e+01 -1.825000000000001066e-01 4.000000000000000000e+02 -2.374681144249797944e+04 -2.375298665678466932e+04 1.165000000000000036e+00
-2.375298665678466932e+04 3.922623240426268154e+01 -1.850000000000001088e-01 4.000000000000000000e+02 -2.370501813184319690e+04 -2.371119584612988911e+04 3.750000000000000000e-01
-2.371119584612988911e+04 2.998262505944910217e+01 -1.875000000000001110e-01 4.000000000000000000e+02 -2.343097588635065767e+04 -2.343715610063734857e+04 1.925000000000000044e+00
-2.343715610063734857e+04 1.396104695335882013e+02 -1.900000000000001132e-01 4.000000000000000000e+02 -2.326220627305364542e+04 -2.326838898734033501e+04 1.995000000000000107e+00
-2.326838898734033501e+04 1.405310334914651946e+02 -1.925000000000001155e-01 4.000000000000000000e+02 -2.315062090042666750e+04 -2.315680611471335942e+04 1.219999999999999973e+00
-2.315680611471335942e+04 1.723582577188927871e+02 -1.950000000000001177e-01 4.000000000000000000e+02 -2.313317370999257400e+04 -2.313936142427926461e+04 1.534999999999999920e+00
-2.313936142425272556e+04 1.802843052604063701e+02 -1.975000000000001199e-01 4.000000000000000000e+02 -2.312672653972909757e+04 -2.313291675401579050e+04 4.199999999999999845e-01
-2.313291516630839760e+04 8.295443927706845955e+01 -2.000000000000001221e-01 4.000000000000000000e+02 -2.302285680791309278e+04 -2.302904952219978441e+04 1.485000000000000098e+00
-2.302904952219978441e+04 1.140799683054621454e+02 -2.025000000000001243e-01 4.000000000000000000e+02 -2.255570663424417580e+04 -2.256190184853086612e+04 1.879999999999999893e+00
-2.256190184853086612e+04 2.419587357493138597e+02 -2.050000000000001266e-01 4.000000000000000000e+02 -2.255312407449321836e+04 -2.255932178877991100e+04 6.350000000000000089e-01
-2.255924875258221437e+04 1.951406118509913199e+02 -2.075000000000001288e-01 4.000000000000000000e+02 -2.252724723623865793e+04 -2.253344745052534927e+04 3.900000000000000133e-01
-2.253344745052534199e+04 1.346799574897382001e+02 -2.100000000000001310e-01 4.000000000000000000e+02 -2.218413164560298537e+04 -2.219033435988967540e+04 1.165000000000000036e+00
-2.219033435988967540e+04 1.525702608338962420e+02 -2.125000000000001332e-01 4.000000000000000000e+02 -2.216223971136367982e+04 -2.216844492565037217e+04 4.799999999999999822e-01
-2.216844492565005930e+04 1.385125763985877825e+02 -2.150000000000001354e-01 4.000000000000000000e+02 -2.213414602784978342e+04 -2.214035374213647447e+04 3.599999999999999867e-01
-2.214035374213647447e+04 1.951595688266155548e+01 -2.175000000000001377e-01 4.000000000000000000e+02 -2.200620714079984828e+04 -2.201241735508653801e+04 2.500000000000000139e-02
-2.201241735508653801e+04 6.336092846804704237e+01 -2.200000000000001399e-01 4.000000000000000000e+02 -2.186693710005227331e+04 -2.187314981433896537e+04 7.299999999999999822e-01
-2.187314981433896537e+04 8.417638883046656417e+01 -2.225000000000001421e-01 4.000000000000000000e+02 -2.183438757485958922e+04 -2.184060278914627997e+04 2.800000000000000266e-01
-2.184060278914627997e+04 8.701939371647155497e+01 -2.250000000000001443e-01 4.000000000000000000e+02 -2.179854546643517824e+04 -2.180476318072187132e+04 1.544999999999999929e+00
-2.180476318072187132e+04 5.787522542023511818e+01 -2.275000000000001465e-01 4.000000000000000000e+02 -2.169995647784963148e+04 -2.170617669213632325e+04 1.849999999999999978e-01
-2.170617669213632325e+04 8.881324618929934900e+01 -2.300000000000001488e-01 4.000000000000000000e+02 -2.167863515257564359e+04 -2.168485786686233405e+04 1.790000000000000036e+00
-2.168485786686178108e+04 3.332528091238766166e+01 -2.325000000000001510e-01 4.000000000000000000e+02 -2.140253112650504772e+04 -2.140875634079174051e+04 1.504999999999999893e+00
-2.140875634079174051e+04 1.534615517256540045e+02 -2.350000000000001532e-01 4.000000000000000000e+02 -2.136845816449076301e+04 -2.137468587877745449e+04 4.899999999999999911e-01
-2.137468587877745449e+04 1.196363621901282244e+02 -2.375000000000001554e-01 4.000000000000000000e+02 -2.057697890183728305e+04 -2.058320911612397322e+04 1.094999999999999973e+00
-2.058320911612397322e+04 3.426830202424038134e+02 -2.400000000000001577e-01 4.000000000000000000e+02 -2.054776121947640058e+04 -2.055399393376309308e+04 5.350000000000000311e-01
-2.055399393376309308e+04 2.250461873555716465e+02 -2.425000000000001599e-01 4.000000000000000000e+02 -2.051390173591458006e+04 -2.052013695020127125e+04 1.090000000000000080e+00
-2.052013695020127125e+04 2.327186395830993320e+02 -2.450000000000001621e-01 4.000000000000000000e+02 -2.027115589117132549e+04 -2.027739360545801537e+04 1.550000000000000044e+00
-2.027739360545801537e+04 3.055892417805200125e+02 -2.475000000000001643e-01 4.000000000000000000e+02 -2.022126294497327399e+04 -2.022750315925996620e+04 1.364999999999999991e+00
-2.022750315925996620e+04 1.120932964330421129e+02 -2.500000000000001665e-01 4.000000000000000000e+02 -1.984972130140254012e+04 -1.985596401568923102e+04 1.799999999999999933e-01
-1.985596401568923102e+04 2.349112793967929349e+02 -2.525000000000001688e-01 4.000000000000000000e+02 -1.975689507661425887e+04 -1.976314029090094846e+04 8.449999999999999734e-01
-1.976314029090094846e+04 4.342389090534546625e+01 -2.550000000000001710e-01 4.000000000000000000e+02 -1.971738495293869346e+04 -1.972363266722538538e+04 6.999999999999999556e-01
-1.972363266722538538e+04 1.522741174538675857e+01 -2.575000000000001732e-01 4.000000000000000000e+02 -1.971373877592155259e+04 -1.971998899020824319e+04 3.800000000000000044e-01
-1.971996317043513409e+04 2.876840001871704189e+00 -2.600000000000001754e-01 4.000000000000000000e+02 -1.964790914994835475e+04 -1.965416186423504769e+04 8.599999999999999867e-01
-1.965416186423504769e+04 3.117493959438616002e+01 -2.625000000000001776e-01 4.000000000000000000e+02 -1.952710960240069107e+04 -1.953336481668738270e+04 1.415000000000000036e+00
-1.953336481668738270e+04 7.099402708253926164e+01 -2.650000000000001799e-01 4.000000000000000000e+02 -1.951064513599569545e+04 -1.951690285028238577e+04 1.735000000000000098e+00
-1.951690285021148520e+04 7.398538748817247779e+01 -2.675000000000001821e-01 4.000000000000000000e+02 -1.949686385001225790e+04 -1.950312406429895054e+04 1.725000000000000089e+00
-1.950312406326154451e+04 6.853319176679443103e+01 -2.700000000000001843e-01 4.000000000000000000e+02 -1.946647948383925541e+04 -1.947274219812594674e+04 5.649999999999999467e-01
-1.947274219812594674e+04 1.198777131148096053e+01 -2.725000000000001865e-01 4.000000000000000000e+02 -1.939821024674882938e+04 -1.940447546103551940e+04 1.650000000000000078e-01
-1.940447546103551940e+04 3.739938266715010684e+01 -2.750000000000001887e-01 4.000000000000000000e+02 -1.937215753885300001e+04 -1.937842525313969236e+04 1.614999999999999991e+00
-1.937842525313968872e+04 4.531203073689712113e+01 -2.775000000000001910e-01 4.000000000000000000e+02 -1.933460558437569853e+04 -1.934087579866238957e+04 1.330000000000000071e+00
-1.934087579866238957e+04 3.695037386713164551e+01 -2.800000000000001932e-01 4.000000000000000000e+02 -1.924005321537441341e+04 -1.924632592966110315e+04 6.899999999999999467e-01
-1.924632592966110315e+04 4.725568515161855032e+01 -2.825000000000001954e-01 4.000000000000000000e+02 -1.917924289051489177e+04 -1.918551810480158383e+04 9.350000000000000533e-01
-1.918551810480158383e+04 4.462001593570268199e+01 -2.850000000000001976e-01 4.000000000000000000e+02 -1.915757639314854896e+04 -1.916385410743523971e+04 6.550000000000000266e-01
-1.916385410743485045e+04 4.777433462931603714e+01 -2.875000000000001998e-01 4.000000000000000000e+02 -1.909222182565028561e+04 -1.909850203993697869e+04 1.445000000000000062e+00
-1.909850203993697869e+04 6.927355469183089554e+01 -2.900000000000002021e-01 4.000000000000000000e+02 -1.866147395834042982e+04 -1.866775667262712159e+04 1.655000000000000027e+00
-1.866775667262712159e+04 2.502709422690282111e+02 -2.925000000000002043e-01 4.000000000000000000e+02 -1.858426374457976999e+04 -1.859054895886646045e+04 1.534999999999999920e+00
-1.859054895886646045e+04 1.983668595180190550e+02 -2.950000000000002065e-01 4.000000000000000000e+02 -1.818683578015556122e+04 -1.819312349444225401e+04 1.229999999999999982e+00
