omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.240017588051333719e-02 6.879567390865015852e+01 3.054723905583121901e+00 1.169661379310619892e-01 9.763433422867199285e-01 8.243466942000384989e+00 1.003886698033034763e+00 1.001529838899700708e+00 1.004995132735572394e+00 9.951965796474490089e-01 1.004590538965191682e+00 2.178625036219005578e-02
2.259450293683051836e-02 6.891978787075042590e+01 3.040045747587276637e+00 1.171575685311074255e-01 9.728616309592840183e-01 7.606256116088739638e+00 1.000986863372200997e+00 1.002201717015025029e+00 1.004353793173951681e+00 9.970229917975930167e-01 1.000166831400418621e+00 1.711635972683500651e-02
2.245194067757595030e-02 6.868675146235818829e+01 3.054215891972953401e+00 1.176694027420986666e-01 9.709540337890771866e-01 8.059809146385273237e+00 1.003116144622885342e+00 1.002731563099475975e+00 1.003447029284207703e+00 1.002194647897473700e+00 1.004626765517368847e+00 1.280768476301607020e-02
2.252936245098437207e-02 6.916290420724264720e+01 3.082969492134853162e+00 1.167347937729404372e-01 9.753725548231869658e-01 9.605091829947660642e+00 1.003800276227500232e+00 1.001436760954861560e+00 1.006748974055080570e+00 9.988621058170980005e-01 1.005427301276351493e+00 1.079729809767426135e-02
2.252736674073319359e-02 6.866376781119767259e+01 3.061029600773677473e+00 1.183261805609508027e-01 9.749628834743545580e-01 8.575626028683458912e+00 1.000697071780357161e+00 1.002070563694951177e+00 1.001067683567142375e+00 1.000917708409000406e+00 1.005421181490739002e+00 5.031172327657101526e-03
2.226522555695528705e-02 6.843712638573813933e+01 3.047328844267745751e+00 1.180106268755592019e-01 9.789673127358526905e-01 8.290707389208474609e+00 9.992863666541380585e-01 1.000157837382824821e+00 1.006539279585498603e+00 9.976894275123672218e-01 1.009702684712340037e+00 1.321088983158534742e-02
2.248455289990990841e-02 6.883665817515638707e+01 3.072832422490327620e+00 1.174921895954663675e-01 9.759684222518871799e-01 9.245895524551539069e+00 1.002375171733182802e+00 9.988004489489501481e-01 1.004860793413780540e+00 1.000195184184129449e+00 1.002652330149492510e+00 2.785639453254823775e-03
2.255693531385874820e-02 6.873985483751556558e+01 3.069428760663128308e+00 1.175107155806723452e-01 9.752766209873937608e-01 8.763956624702156972e+00 1.004092528391988148e+00 1.003971284957550614e+00 1.004630903555115751e+00 1.002939685100300293e+00 1.003065456365780150e+00 2.588688784092330400e-02
2.245323856676723073e-02 6.872278807708872250e+01 3.065802770335648297e+00 1.176965103341192226e-01 9.727488952909366660e-01 8.671708043405971011e+00 1.003813758724365179e+00 1.001503438349445885e+00 1.004370621420698884e+00 9.973898784775711013e-01 1.009532078969699542e+00 1.099335650804030527e-02
2.247460350762718953e-02 6.859651862959786683e+01 3.057774589810478005e+00 1.183164642930078780e-01 9.713942209799107941e-01 8.187934124675571468e+00 1.002645751878054492e+00 1.002012856736616442e+00 1.006632992342754829e+00 1.000902721894092018e+00 1.003876477147907176e+00 1.222765437611261427e-02
