16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:41:11 [ultranest] [DEBUG] iteration=96, ncalls=7216, regioncalls=0, ndraw=40, logz=-20686.25, remainder_fraction=100.0000%, Lmin=-20539.12, Lmax=-1976.11
17:41:49 [ultranest] [DEBUG] iteration=98, ncalls=7312, regioncalls=0, ndraw=40, logz=-20519.85, remainder_fraction=100.0000%, Lmin=-20348.02, Lmax=-1976.11
17:42:22 [ultranest] [DEBUG] iteration=101, ncalls=7408, regioncalls=0, ndraw=40, logz=-20154.13, remainder_fraction=100.0000%, Lmin=-20020.04, Lmax=-1976.11
17:43:00 [ultranest] [DEBUG] iteration=105, ncalls=7504, regioncalls=0, ndraw=40, logz=-19951.63, remainder_fraction=100.0000%, Lmin=-19842.37, Lmax=-1976.11
17:43:35 [ultranest] [DEBUG] iteration=107, ncalls=7600, regioncalls=0, ndraw=40, logz=-19787.01, remainder_fraction=100.0000%, Lmin=-19636.73, Lmax=-1976.11
17:44:05 [ultranest] [DEBUG] iteration=111, ncalls=7696, regioncalls=0, ndraw=40, logz=-19474.75, remainder_fraction=100.0000%, Lmin=-19455.53, Lmax=-1976.11
17:44:42 [ultranest] [DEBUG] iteration=112, ncalls=7792, regioncalls=0, ndraw=40, logz=-19461.80, remainder_fraction=100.0000%, Lmin=-19371.68, Lmax=-1976.11
17:45:11 [ultranest] [DEBUG] iteration=113, ncalls=7888, regioncalls=0, ndraw=40, logz=-19377.95, remainder_fraction=100.0000%, Lmin=-19272.91, Lmax=-1976.11
17:45:53 [ultranest] [DEBUG] iteration=116, ncalls=7984, regioncalls=0, ndraw=40, logz=-19238.04, remainder_fraction=100.0000%, Lmin=-19160.93, Lmax=-1976.11
17:46:25 [ultranest] [DEBUG] iteration=117, ncalls=8080, regioncalls=0, ndraw=40, logz=-19167.21, remainder_fraction=100.0000%, Lmin=-19155.90, Lmax=-1976.11
17:47:40 [ultranest] [DEBUG] iteration=118, ncalls=8272, regioncalls=0, ndraw=40, logz=-19162.18, remainder_fraction=100.0000%, Lmin=-19148.74, Lmax=-1976.11
17:48:21 [ultranest] [DEBUG] iteration=120, ncalls=8368, regioncalls=0, ndraw=40, logz=-19147.52, remainder_fraction=100.0000%, Lmin=-19071.34, Lmax=-1976.11
17:49:20 [ultranest] [DEBUG] iteration=121, ncalls=8560, regioncalls=0, ndraw=40, logz=-19077.63, remainder_fraction=100.0000%, Lmin=-19033.66, Lmax=-1976.11
17:49:50 [ultranest] [DEBUG] iteration=122, ncalls=8656, regioncalls=0, ndraw=40, logz=-19039.96, remainder_fraction=100.0000%, Lmin=-18828.98, Lmax=-1976.11
