omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.261727023873879791e-02 6.885993211382844947e+01 3.047816981951939397e+00 1.178101494819397410e-01 9.746133518514791261e-01 7.978237385551675942e+00 1.000527669398372677e+00 1.001561061804984609e+00 1.007665995751213517e+00 1.001016755553674198e+00 9.985586561723556187e-01 2.167533745064502415e-02
2.267969717311940636e-02 6.827955843018899884e+01 3.064347154111732863e+00 1.186009225350245222e-01 9.706560906802735866e-01 8.400881105952617389e+00 1.004575470856630570e+00 1.001730364790399230e+00 1.003608074710592213e+00 1.001188374497584466e+00 1.003972981367830863e+00 4.353568958161305874e-02
2.240516286783220123e-02 6.810289001324596825e+01 3.053594116219259469e+00 1.192757871636018902e-01 9.695486098706891376e-01 8.011494375613324337e+00 1.002023466780761707e+00 1.003951377889948038e+00 1.002105400108450395e+00 1.004805185143128554e+00 9.992223322002342645e-01 7.928591333782967002e-03
2.263136293464418358e-02 6.844021660973913868e+01 3.062246665281240787e+00 1.188817117966401576e-01 9.708765304107753735e-01 8.288824962558543064e+00 1.004150316397058207e+00 1.002784949959208083e+00 1.000783817903946771e+00 1.003422299247992644e+00 1.000922029304863736e+00 2.601521437786144531e-02
2.245538281712166143e-02 6.838100136853249467e+01 3.051355766980277551e+00 1.186185006966587463e-01 9.709624139946969601e-01 7.953802786397046631e+00 1.002047657846377504e+00 1.000747352401203827e+00 1.003077130984010079e+00 9.997640714280927599e-01 1.006585645954667152e+00 1.344469702184779465e-02
2.253399670179971268e-02 6.882289550186985139e+01 3.062725484708878287e+00 1.174984031993249189e-01 9.743889787874294717e-01 8.772550811198499332e+00 1.001405312409258563e+00 9.992011906993604198e-01 1.005422486415306960e+00 9.969670100506708987e-01 1.000285390512725137e+00 7.014510869879130375e-03
2.242488508946480913e-02 6.839016009369967719e+01 3.040405397830647782e+00 1.185055685089071997e-01 9.736560548215246191e-01 7.737631719681751008e+00 9.998145456492034677e-01 1.001748921665861713e+00 1.000977498116953246e+00 9.985313127060840843e-01 9.961931345943414451e-01 2.442842202174519764e-02
2.242026848040350184e-02 6.813533419565858651e+01 3.075448953040885502e+00 1.176546270940783817e-01 9.768749541580212803e-01 9.573207539063186999e+00 9.989468623311693607e-01 9.977471257805473615e-01 1.006189657511596725e+00 1.000548901434991533e+00 1.005704885529712378e+00 6.492339618779846555e-02
2.242548112420111872e-02 6.842068073796099270e+01 3.076444910676919164e+00 1.186489120278752946e-01 9.713010536144717211e-01 9.343504947530147930e+00 9.997133832076231519e-01 1.000766610223426500e+00 1.003610394057773192e+00 1.000968653000062769e+00 1.000286843684442539e+00 8.171161518561871964e-03
2.228229886056494816e-02 6.814448502460632540e+01 3.069891994802676383e+00 1.189392464757832030e-01 9.723706178367079733e-01 8.937365358969195483e+00 1.002213926603025662e+00 1.001377493805572172e+00 1.001404696975197295e+00 9.984003867748711958e-01 9.966896995258364145e-01 2.682181042143219531e-03
2.246086216557137416e-02 6.814946370617369098e+01 3.035653540235662806e+00 1.187802335628236061e-01 9.722067635727328350e-01 6.938254994514100105e+00 1.003669246958319716e+00 1.004477104435715917e+00 1.003257406629913140e+00 1.000061470965410759e+00 1.008780215537878666e+00 2.279457838156320748e-02
2.249757796470370358e-02 6.848109857370347697e+01 3.068506067470887277e+00 1.178948576984071572e-01 9.732754730423638367e-01 8.986330699822591583e+00 1.002063979419110185e+00 1.000489851052795531e+00 1.002350844494674931e+00 9.970897821980626574e-01 1.004880804351548251e+00 3.355739027445499290e-02
2.243505480594002593e-02 6.848069562290484669e+01 3.051283503914635986e+00 1.184376135938814967e-01 9.713543545403926505e-01 8.208243656886029527e+00 1.000479722560874141e+00 9.994299961644750319e-01 1.000742385218371222e+00 9.929890570311542541e-01 1.001836086094839651e+00 6.401793305270565143e-04
2.244248130550118361e-02 6.847904181500507548e+01 3.052841453371545555e+00 1.180798265383841694e-01 9.703079922840236460e-01 8.252385199961583595e+00 1.000202018810278259e+00 9.991115174922093889e-01 1.003018195714555416e+00 9.982263855286215293e-01 1.001524279120584504e+00 2.071670981986233062e-02
2.249470384044329266e-02 6.863506794727025806e+01 3.064796755665030847e+00 1.178836211036116827e-01 9.717738742177374212e-01 8.608082018599672480e+00 1.002683897193438867e+00 1.002889842091924111e+00 1.002103355762435921e+00 1.001651406282357604e+00 1.006843671186130829e+00 1.898777777510958845e-02
2.264123633918524794e-02 6.829899922138559987e+01 3.045056739111323907e+00 1.186892923513189757e-01 9.709097850758258152e-01 7.810633057883533681e+00 9.995266209219507703e-01 9.985918607590078544e-01 1.003377176888399891e+00 9.933541972421551236e-01 9.999933708794871423e-01 4.202623879993488271e-02
2.240507585291547088e-02 6.840458897276127459e+01 3.035288915953442412e+00 1.182031202408976855e-01 9.736868595284053907e-01 7.434520155513132167e+00 1.000872987051717011e+00 9.985705714155334034e-01 1.006993536565047531e+00 1.000605852749313796e+00 1.004584621276452205e+00 1.431868574955654297e-02
2.255670871821355630e-02 6.838227588728632611e+01 3.038550948964023224e+00 1.190558307224870715e-01 9.645314905515703918e-01 6.970765234450126080e+00 1.004136133691786226e+00 1.000989458417646194e+00 1.004019869804563925e+00 1.001488122112357271e+00 1.003504354572001489e+00 7.637069494159362537e-03
2.249757796470370358e-02 6.848109857370347697e+01 3.068506067470887277e+00 1.178948576984071572e-01 9.732754730423638367e-01 8.986330699822591583e+00 1.002063979419110185e+00 1.000489851052795531e+00 1.002350844494674931e+00 9.970897821980626574e-01 1.004880804351548251e+00 3.355739027445499290e-02
2.255484221313829724e-02 6.847957775143468950e+01 3.071848665616923491e+00 1.187821417301474503e-01 9.681732447077883164e-01 8.856312324215068088e+00 1.003304970555575437e+00 9.990506076170343475e-01 1.001963258711864535e+00 9.990859651971880639e-01 1.004559352507693681e+00 8.009741598171143603e-03
2.258444060448068155e-02 6.886879647528166970e+01 3.073139466390552688e+00 1.180446434024915725e-01 9.748815828709151976e-01 9.066151283616122214e+00 1.001659493120933053e+00 1.001625041999513632e+00 1.002366802520740618e+00 9.960426729180673622e-01 1.001161400701350734e+00 4.520939708133150936e-03
